WMI,Manufacturer,Country
SCF,Aston Martin,United Kingdom
SFD,Alexander Dennis,United Kingdom
SHH,Honda,United Kingdom
SHS,Honda,United Kingdom
SJN,Nissan,United Kingdom
SUD,Wielton,Poland
TCC,Micro Compact Car,Switzerland
TEB,Johnston sweeper (Bucher),UK/Switzerland
TMA,Hyundai,Czech Republic
TMB,Skoda,Czech Republic
TRU,Audi,Hungary
TSM,Suzuki,Hungary
U5Y,Kia,Slovakia
UU,Dacia,Romania
VA0,ÖAF,Austria
VF1,Renault,France
VF2,Renault,France
VF3,Peugeot,France
VF4,Talbot,France
VF5,Iveco Unic,France
VF6,Renault Trucks / Volvo,France
VF7,Citroën,France
VF8,Matra / Talbot / Simca,France
VF9,Bugatti,France
VFE,IvecoBus,France
VNK,Toyota,France
VR1,DS Automobiles,France
VS7,Citroën,Spain
VSS,SEAT,Spain
VV9,Tauro Sport Auto,Spain
W09,Ruf Automobile,Germany
W0L,Opel / Vauxhal,Germany
W0SV,Opel Special Vehicles,Germany
WAG,Neoplan,Germany
WAP,Alpina,Germany
WAU,Audi,Germany
WBA,BMW,Germany
WBS,BMW M,Germany
WBX,BMW,Germany
WDB,Mercedes Benz,Germany
WDC,Daimler Chrysler AG / Daimler AG,Germany
WDD,Daimler Chrysler AG / Daimler AG,Germany
WEB,EvoBus,Germany
WF0,Ford of Europe,Germany
WJM,Iveco,Germany
WJR,Irmscher,Germany
WKK,Karl Kässbohrer Fahrzeugwerke,Germany
WMA,MAN,Germany
WME,Smart,Germany
WMW,Mini,Germany
WMX,Daimler Chrysler AG / Daimler AG,Germany
WP0,Porsche,Germany
WP1,Porsche SUV,Germany
WUA,Quattro,Germany
WV1,Volkswagen Commercial Vehicles,Germany
WV2,Volkswagen Commercial Vehicles,Germany
WVG,Volkswagen,Germany
WVW,Volkswagen,Germany
XLR,DAF Trucks,Netherlands
XTA,AvtoVAZ (Lada),Russia
YK1,Saab,Finland
YS2,Scania | Södertälje,Sweden
YS3,Saab,Sweden
YS4,Scania | Katrineholm,Sweden
YT9,Koenigsegg Automotive,Sweden
YTN,Saab NEVS,Sweden
YV2,Volvo Trucks,Sweden
YV3,Volvo Buses,Sweden
YV3,Volvo Cars,Sweden
ZA9,Bugatti,Italy
ZAM,Maserati,Italy
ZAP,Piaggio,Italy
ZAR,Alfa Romeo,Italy
ZCF,Iveco,Italy
ZFA,Fiat,Italy
ZFF,Ferrari,Italy
ZGA,IvecoBus,Italy
ZHW,Lamborghini,Italy
ZLA,Lancia,Italy
